network_id,spec_key,scope,profile,canonical_label,sources,edges,mean_source_accuracy,exposure_weighted_accuracy,source_hhi,mean_pair_source_overlap,mean_pair_agreement,private_discovery
C465,base:strong:K2,base,strong,K2N4:1-3@0001;5-6@1111,2,5,7/12,11/15,17/25,1,5/6,31/36
C466,base:strong:K2,base,strong,K2N4:1-3@0011;5-6@1100,2,4,7/12,7/12,1/2,1/3,5/9,8/9
C467,base:strong:K2,base,strong,K2N4:1-3@0011;5-6@1101,2,5,7/12,19/30,13/25,2/3,11/18,8/9
C468,base:strong:K2,base,strong,K2N4:1-3@0011;5-6@1111,2,6,7/12,2/3,5/9,7/6,13/18,7/8
C469,base:strong:K2,base,strong,K2N4:1-3@0111;5-6@1000,2,4,7/12,11/24,5/8,1/2,2/3,8/9
C470,base:strong:K2,base,strong,K2N4:1-3@0111;5-6@1001,2,5,7/12,8/15,13/25,2/3,11/18,8/9
C471,base:strong:K2,base,strong,K2N4:1-3@0111;5-6@1011,2,6,7/12,7/12,1/2,1,11/18,8/9
C472,base:strong:K2,base,strong,K2N4:1-3@0111;5-6@1111,2,7,7/12,13/21,25/49,3/2,2/3,127/144
C473,base:strong:K2,base,strong,K2N4:1-3@1111;5-6@0001,2,5,7/12,13/30,17/25,1,5/6,11/18
C474,base:strong:K2,base,strong,K2N4:1-3@1111;5-6@0011,2,6,7/12,1/2,5/9,7/6,13/18,3/4
C475,base:strong:K2,base,strong,K2N4:1-3@1111;5-6@0111,2,7,7/12,23/42,25/49,3/2,2/3,59/72
C476,base:strong:K2,base,strong,K2N4:1-3@1111;5-6@1111,2,8,7/12,7/12,1/2,2,2/3,245/288
C477,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0001;5-6@1110,3,5,1/2,19/30,11/25,1/2,2/3,8/9
C478,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0001;5-6@1111,3,6,1/2,2/3,1/2,1,22/27,70/81
C479,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0010;5-6@1100,3,4,1/2,7/12,3/8,1/6,4/9,25/27
C480,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0010;5-6@1101,3,5,1/2,19/30,11/25,1/2,5/9,49/54
C481,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0010;5-6@1111,3,6,1/2,2/3,1/2,1,25/36,191/216
C482,base:strong:K3,base,strong,K3N4:1-3@0001;1-3@0011;5-6@1100,3,5,1/2,8/15,9/25,1/3,1/2,49/54
