agents,private_accuracy,shared_accuracy,private_dominant,public_dominant,contrarian,discovery,action_quality,expected_distinct_actions,weak_equilibrium,strict_equilibrium,planner_optimal
3,1/2,2/3,0,0,3,149/192,5/12,65/32,False,False,False
3,1/2,2/3,0,1,2,13/16,1/2,95/48,False,False,False
3,1/2,2/3,0,2,1,3/4,7/12,19/12,False,False,False
3,1/2,2/3,0,3,0,2/3,2/3,1,False,False,False
3,1/2,2/3,1,0,2,79/96,4/9,395/192,False,False,False
3,1/2,2/3,1,1,1,7/8,19/36,2,False,False,False
3,1/2,2/3,1,2,0,5/6,11/18,19/12,True,True,False
3,1/2,2/3,2,0,1,41/48,17/36,395/192,False,False,False
3,1/2,2/3,2,1,0,11/12,5/9,95/48,False,False,True
3,1/2,2/3,3,0,0,7/8,1/2,65/32,False,False,False
3,1/2,3/4,0,0,3,205/256,7/16,65/32,False,False,False
3,1/2,3/4,0,1,2,55/64,13/24,125/64,False,False,False
3,1/2,3/4,0,2,1,13/16,31/48,25/16,False,False,False
3,1/2,3/4,0,3,0,3/4,3/4,1,True,False,False
3,1/2,3/4,1,0,2,107/128,11/24,525/256,False,False,False
3,1/2,3/4,1,1,1,29/32,9/16,63/32,False,False,False
3,1/2,3/4,1,2,0,7/8,2/3,25/16,True,False,False
3,1/2,3/4,2,0,1,55/64,23/48,525/256,False,False,False
3,1/2,3/4,2,1,0,15/16,7/12,125/64,False,False,True
3,1/2,3/4,3,0,0,7/8,1/2,65/32,False,False,False
3,1/2,5/6,0,0,3,317/384,11/24,65/32,False,False,False
3,1/2,5/6,0,1,2,29/32,7/12,185/96,False,False,False
3,1/2,5/6,0,2,1,7/8,17/24,37/24,False,False,False
3,1/2,5/6,0,3,0,5/6,5/6,1,True,True,False
3,1/2,5/6,1,0,2,163/192,17/36,785/384,False,False,False
3,1/2,5/6,1,1,1,15/16,43/72,31/16,False,False,False
3,1/2,5/6,1,2,0,11/12,13/18,37/24,False,False,False
3,1/2,5/6,2,0,1,83/96,35/72,785/384,False,False,False
3,1/2,5/6,2,1,0,23/24,11/18,185/96,False,False,True
3,1/2,5/6,3,0,0,7/8,1/2,65/32,False,False,False
3,2/3,1/3,0,0,3,65/108,1/3,65/36,False,False,False
3,2/3,1/3,0,1,2,29/54,1/3,2,False,False,False
3,2/3,1/3,0,2,1,4/9,1/3,5/3,False,False,False
3,2/3,1/3,0,3,0,1/3,1/3,1,False,False,False
3,2/3,1/3,1,0,2,5/6,4/9,2,False,False,False
3,2/3,1/3,1,1,1,22/27,4/9,13/6,False,False,False
3,2/3,1/3,1,2,0,7/9,4/9,5/3,False,False,False
3,2/3,1/3,2,0,1,25/27,5/9,2,False,False,False
3,2/3,1/3,2,1,0,25/27,5/9,2,False,False,False
3,2/3,1/3,3,0,0,26/27,2/3,65/36,True,True,True
3,2/3,1/2,0,0,3,299/432,5/12,65/36,False,False,False
3,2/3,1/2,0,1,2,47/72,4/9,137/72,False,False,False
3,2/3,1/2,0,2,1,7/12,17/36,19/12,False,False,False
3,2/3,1/2,0,3,0,1/2,1/2,1,False,False,False
3,2/3,1/2,1,0,2,187/216,1/2,281/144,False,False,False
3,2/3,1/2,1,1,1,31/36,19/36,73/36,False,False,False
3,2/3,1/2,1,2,0,5/6,5/9,19/12,False,False,False
3,2/3,1/2,2,0,1,101/108,7/12,281/144,False,False,False
3,2/3,1/2,2,1,0,17/18,11/18,137/72,False,False,False
3,2/3,1/2,3,0,0,26/27,2/3,65/36,True,True,True
3,2/3,2/3,0,0,3,169/216,1/2,65/36,False,False,False
3,2/3,2/3,0,1,2,83/108,5/9,65/36,False,False,False
3,2/3,2/3,0,2,1,13/18,11/18,3/2,False,False,False
3,2/3,2/3,0,3,0,2/3,2/3,1,False,False,False
3,2/3,2/3,1,0,2,97/108,5/9,137/72,False,False,False
3,2/3,2/3,1,1,1,49/54,11/18,17/9,False,False,False
3,2/3,2/3,1,2,0,8/9,2/3,3/2,False,False,False
3,2/3,2/3,2,0,1,17/18,11/18,137/72,False,False,False
3,2/3,2/3,2,1,0,26/27,2/3,65/36,True,False,True
3,2/3,2/3,3,0,0,26/27,2/3,65/36,True,False,True
3,2/3,3/4,0,0,3,715/864,13/24,65/36,False,False,False
3,2/3,3/4,0,1,2,119/144,11/18,253/144,False,False,False
3,2/3,3/4,0,2,1,19/24,49/72,35/24,False,False,False
3,2/3,3/4,0,3,0,3/4,3/4,1,False,False,False
3,2/3,3/4,1,0,2,395/432,7/12,541/288,False,False,False
3,2/3,3/4,1,1,1,67/72,47/72,131/72,False,False,False
3,2/3,3/4,1,2,0,11/12,13/18,35/24,False,False,False
3,2/3,3/4,2,0,1,205/216,5/8,541/288,False,False,False
